                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.41279,                0.30097,                0.94676,                0.89159,                0.83782,                0.88833,                0.74204,                0.72545,                0.57927,                 1.1203,               0.070278,              0.0033025,              0.0033025
                      2,                0.48127,                0.34923,                0.96904,                0.91309,                0.82278,                 0.8833,                0.72417,                0.75631,                 0.6079,                 1.1275,               0.040184,               0.006542,               0.006542
                      3,                0.52332,                 0.3947,                0.99259,                 0.8755,                0.82129,                0.87968,                0.69692,                0.81909,                0.68456,                 1.1751,              0.0099958,              0.0096872,              0.0096872
                      4,                  0.573,                0.44577,                  1.017,                0.87232,                0.80152,                0.86173,                0.67225,                0.86512,                0.69759,                 1.2125,              0.0095757,              0.0095757,              0.0095757
                      5,                0.59642,                0.48112,                 1.0377,                 0.8583,                0.79602,                 0.8565,                0.67005,                0.86632,                0.75236,                 1.1966,              0.0094343,              0.0094343,              0.0094343
                      6,                 0.5956,                0.48226,                 1.0309,                0.84973,                0.75093,                0.84702,                0.64138,                0.89208,                0.74654,                 1.2097,              0.0092929,              0.0092929,              0.0092929
                      7,                0.59681,                0.48944,                 1.0367,                0.83038,                0.79178,                0.84871,                0.65308,                0.89767,                0.75725,                 1.2276,              0.0091514,              0.0091514,              0.0091514
                      8,                 0.5972,                0.47974,                 1.0324,                0.78033,                0.77714,                0.81987,                0.63431,                0.87868,                0.74349,                 1.2224,                0.00901,                0.00901,                0.00901
                      9,                0.58594,                0.48249,                 1.0323,                0.83741,                0.73106,                0.81868,                0.61514,                0.92262,                0.89811,                 1.2585,              0.0088686,              0.0088686,              0.0088686
                     10,                0.59916,                0.47946,                 1.0327,                0.85497,                0.74271,                0.84583,                0.64182,                0.88376,                0.73844,                 1.2049,              0.0087271,              0.0087271,              0.0087271
                     11,                0.59852,                0.48328,                 1.0345,                0.86338,                0.78034,                0.84557,                0.64816,                0.89981,                0.72547,                 1.2363,              0.0085857,              0.0085857,              0.0085857
                     12,                0.59739,                 0.4836,                 1.0393,                 0.8372,                0.76895,                0.82996,                 0.6273,                0.91851,                0.76476,                 1.2532,              0.0084443,              0.0084443,              0.0084443
                     13,                0.58567,                0.47498,                 1.0353,                0.78848,                0.79242,                0.82705,                0.63174,                0.91426,                0.74578,                 1.2688,              0.0083029,              0.0083029,              0.0083029
                     14,                 0.5902,                0.46892,                 1.0282,                0.83461,                0.74181,                0.82176,                0.63096,                0.90971,                0.79669,                 1.2481,              0.0081614,              0.0081614,              0.0081614
                     15,                0.58466,                0.47549,                 1.0307,                0.85507,                0.74535,                0.84004,                 0.6493,                0.89591,                0.76046,                 1.2322,                0.00802,                0.00802,                0.00802
                     16,                0.58006,                0.45026,                 1.0247,                0.84729,                0.79242,                0.85238,                0.64718,                0.89683,                0.74264,                 1.2528,              0.0078786,              0.0078786,              0.0078786
                     17,                0.57945,                0.45979,                 1.0189,                0.81279,                0.77976,                0.84174,                0.64592,                0.89716,                0.76636,                 1.2273,              0.0077371,              0.0077371,              0.0077371
                     18,                0.57777,                0.46348,                 1.0298,                0.85209,                0.78673,                0.85168,                0.65883,                 0.8923,                0.69006,                 1.2271,              0.0075957,              0.0075957,              0.0075957
                     19,                  0.568,                0.44575,                 1.0142,                0.85988,                 0.7628,                0.83508,                0.65228,                0.87241,                0.73632,                 1.2153,              0.0074543,              0.0074543,              0.0074543
                     20,                0.56609,                0.44265,                 1.0256,                0.88136,                0.76077,                 0.8461,                0.65318,                0.90446,                0.74846,                 1.2562,              0.0073129,              0.0073129,              0.0073129
                     21,                0.57234,                0.45346,                 1.0204,                0.84788,                0.76469,                0.83145,                0.64112,                0.89088,                0.73689,                 1.2226,              0.0071714,              0.0071714,              0.0071714
